Entity Information,Initial Filing Date,Status,Entity Type,Formed In,Agent
"AULT ENTERPRISES, LLC (201919910063)",07/12/2019,Terminated,Limited Liability Company - CA,CALIFORNIA,BRAD AULT
"AULT GLAZER & CO., INC. (3086800)",02/07/2008,Forfeited - FTB,Stock Corporation - Out of State - Stock,COLORADO,GARY  GOTTLIEB
"AULT GLAZER BODNAR & COMPANY, INC. (2777824)",11/30/2005,Terminated,Stock Corporation - Out of State - Stock,DELAWARE,C T CORPORATION SYSTEM
AULT GLAZER CAPITAL PARTNERS LLC (200816610034),06/06/2008,Forfeited - FTB/SOS,Limited Liability Company - Out of State,DELAWARE,CORPORATE CREATIONS NETWORK INC.
AULT INC (3944946),09/13/2016,Terminated,Stock Corporation - CA - General,CALIFORNIA,MICHAEL  SWAIN
AULT INCORPORATED DOING BUSINESSS IN CALIFORNIA AS MINNESOTA AULT (2010376),05/12/1997,Merged Out,Stock Corporation - Out of State - Stock,MINNESOTA,DUSTIN  THURINGER
"Ault Lending, LLC (201633610097)",11/30/2016,Active,Limited Liability Company - CA,CALIFORNIA,DAVID J KATZOFF
"AULT LIFE SCIENCES, INC. (4569898)",02/21/2020,Terminated,Stock Corporation - Out of State - Stock,DELAWARE,MILTON C AULT
AULT PSYCHOLOGICAL SERVICES INC. (3766819),03/16/2015,Terminated,Stock Corporation - CA - General,CALIFORNIA,JILL AULT
"AULT REAL ESTATE PARTNERS, LLC (201920710171)",07/23/2019,Forfeited - FTB,Limited Liability Company - Out of State,DELAWARE,MILTON C AULT III
"AULT REALTY, INC. (2623423)",02/02/2004,Terminated,Stock Corporation - CA - General,CALIFORNIA,RICHARD J AULT
"AULT STRUVE FUN TICKETS, LLC (200824610180)",08/29/2008,Terminated,Limited Liability Company - CA,CALIFORNIA,DANIEL C STRUVE
"AULT TRANSPORT SERVICES, INC. (3790354)",04/15/2013,Terminated,Stock Corporation - CA - General,CALIFORNIA,APRIL L TALLMAN
"AULT TRANSPORT SERVICES, LLC (201313110584)",04/15/2013,Converted Out,Limited Liability Company - CA,CALIFORNIA,APRIL TALLMAN
"AULT, DEUPREY, JONES & GORMAN, A PROFESSIONAL CORPORATION (1872462)",06/27/1994,Suspended - FTB,Stock Corporation - CA - Professional,CALIFORNIA,DAVID W AULT
"AULTAS, LLC (201722610164)",08/08/2017,Terminated,Limited Liability Company - CA,CALIFORNIA,MICHAEL SWAIN
"AULT-BRENGLE, INC. (406358)",12/12/1960,Suspended - FTB,Stock Corporation - CA - General,CALIFORNIA,
AulTek Services LLC (202354512280),01/19/2023,Active,Limited Liability Company - CA,CALIFORNIA,Baby Pyaree
AULTFERN LLC (202020610524),07/22/2020,Active,Limited Liability Company - CA,CALIFORNIA,"LEGALZOOM.COM, INC."
AULTIUM LLC (201413410192),05/12/2014,Active,Limited Liability Company - CA,CALIFORNIA,Ryan Hoke
AULTMAN MILL AND MINING COMPANY (70013537),03/03/1882,Suspended - FTB,Legacy Corporation,CALIFORNIA,
"AULTMORE CAPITAL CRE PROPERTY I, LLC (201822810473)",08/16/2018,Active,Limited Liability Company - Out of State,DELAWARE,Hyung-Jin Kim
"AULTON LAND PARTNERS, LLC (200435810201)",12/20/2004,Terminated,Limited Liability Company - CA,CALIFORNIA,"BRAD JEFFERSON LANDON, ESQ"
AULTON NEW ENERGY INC (5096378),05/27/2022,Active,Stock Corporation - CA - General,CALIFORNIA,BEN HUANG
Ault-Riche Consulting LLC (202354111139),01/03/2023,Active,Limited Liability Company - CA,CALIFORNIA,Gabrielle M Ault-Riche
Ault-RicheEM Corp. (5811015),07/07/2023,Active,Stock Corporation - CA - Professional,CALIFORNIA,JeanMarc Robert Ault-Riche
"AULTRUISM, INC. (3284460)",02/19/2010,Active,Stock Corporation - CA - General,CALIFORNIA,SANDRA COSSIO
"AULT'S BUILDERS, INC. (2479444)",12/31/2002,Suspended - FTB,Stock Corporation - CA - General,CALIFORNIA,THOMAS  AULT
C. E. AULT ASSOCIATES (346865),11/25/1957,Terminated,Stock Corporation - CA - General,CALIFORNIA,
"DAVID W. AULT, INC. (979663)",04/07/1980,Suspended - FTB,Stock Corporation - CA - General,CALIFORNIA,DAVID W. AULT
EMORY AULT LLC (201934010134),12/03/2019,Converted Out,Limited Liability Company - CA,CALIFORNIA,Emory Ault
"GARY L. AULT, D.D.S., INC. (868789)",07/01/1978,Suspended - FTB/SOS,Stock Corporation - CA - General,CALIFORNIA,BEN  KENDALL
J.W. AULT CONSULTING CORPORATION (3227247),08/21/2009,Terminated,Stock Corporation - CA - General,CALIFORNIA,DR. JOSEPH WILLIAM AULT
Janelle Ault Courses LLC (202462517829),06/05/2024,Active,Limited Liability Company - CA,CALIFORNIA,Janelle Ault
"MARK J. AULT, MD, INC. (4045438)",07/12/2017,Terminated,Stock Corporation - CA - General,CALIFORNIA,TIMOTHY W TUTTLE
THE AULT & WIBORG CALIFORNIA COMPANY (70130674),09/19/1928,Merged Out,Legacy Corporation,CALIFORNIA,
THE AULT & WIBORG CO.OF CALIFORNIA (70103699),05/01/1923,Terminated,Legacy Corporation,CALIFORNIA,
THE AULT AND WIBORG COMPANY (70051050),07/16/1907,Terminated,Legacy Corporation,OHIO,
THE AULT CORPORATION (764791),03/03/1976,Merged Out,Stock Corporation - CA - General,CALIFORNIA,JOSEPH W AULT
"THE AULT FIRM, INC. (3432760)",01/04/2012,Active,Stock Corporation - CA - General,CALIFORNIA,TIMOTHY  AULT
THE AULTMAN & TAYLOR MACHINERY COMPANY (70051938),10/19/1907,Terminated,Legacy Corporation,OHIO,
THE AULTMAN & TAYLOR MACHINERY COMPANY (70088259),05/06/1919,Terminated,Legacy Corporation,OHIO,
"THOMAS H. AULT, INC. (979667)",04/07/1980,Terminated,Stock Corporation - CA - General,CALIFORNIA,THOMAS H. AULT
